replication,T,method,lower,upper,covers,length
23,500,RS,-0.46998438608880033,-0.23853773948978874,1,0.2314466465990116
23,1000,PI,-0.55608323167323714,-0.24920629457167881,1,0.30687693710155833
23,1000,Boot,-0.5237927948754566,-0.23951605983969051,1,0.28427673503576611
23,1000,RS,-0.49817032419063056,-0.30711920205428533,1,0.19105112213634523
23,2000,PI,-0.58533321138216932,-0.39433634257656647,1,0.19099686880560285
23,2000,Boot,-0.56578135143960151,-0.38097755722450377,1,0.18480379421509774
23,2000,RS,-0.68529775743326193,-0.29437179652547385,1,0.39092596090778808
23,5000,PI,-0.56295081291154081,-0.44240704454662105,1,0.12054376836491976
23,5000,Boot,-0.55025342245375752,-0.43481383245900468,1,0.11543958999475284
23,5000,RS,-0.55925172044173244,-0.44610613701642943,1,0.11314558342530301
23,10000,PI,-0.51730418751448215,-0.43376234781204348,1,0.083541839702438669
23,10000,Boot,-0.50994099646206703,-0.43097495135151809,1,0.078966045110548944
23,10000,RS,-0.5441229313363668,-0.40694360399015883,1,0.13717932734620797
24,500,PI,-0.50279142605989358,-0.080842012637106164,1,0.42194941342278741
24,500,Boot,-0.50477046751053489,-0.10301529263003906,1,0.40175517488049584
24,500,RS,-0.51142569539644278,-0.072207743300556987,1,0.43921795209588577
24,1000,PI,-0.57746007649264852,-0.3001903985497269,1,0.27726967794292162
24,1000,Boot,-0.57177792315949372,-0.29543782288834675,1,0.27634010027114697
24,1000,RS,-0.71213582360889116,-0.16551465143348432,1,0.54662117217540684
24,2000,PI,-0.50900811721322203,-0.32178017088594946,1,0.18722794632727258
24,2000,Boot,-0.51436734080820856,-0.29556377754345814,1,0.21880356326475042
24,2000,RS,-0.48790424298894541,-0.34288404511022608,1,0.14502019787871934
24,5000,PI,-0.52135790578562735,-0.40098850559252197,1,0.12036940019310538
